season_key,grade_key,name,tier,division,team_count,age_band,playhq_id
amnd-winter-2005,amnd-winter-2005-sub-junior-5,Sub-Junior 5,9,5,8,Junior,archive:amnd-winter-2005:sub-junior-5
amnd-winter-2005,amnd-winter-2005-sub-junior-6,Sub-Junior 6,9,6,8,Junior,archive:amnd-winter-2005:sub-junior-6
amnd-winter-2005,amnd-winter-2005-sub-junior-7,Sub-Junior 7,9,7,6,Junior,archive:amnd-winter-2005:sub-junior-7
amnd-winter-2006,amnd-winter-2006-amnd-league,AMND League,3,,10,Senior,archive:amnd-winter-2006:amnd-league
amnd-winter-2006,amnd-winter-2006-a-grade,A. Grade,4,,10,Senior,archive:amnd-winter-2006:a-grade
amnd-winter-2006,amnd-winter-2006-b-1,B. 1,5,1,10,Senior,archive:amnd-winter-2006:b-1
amnd-winter-2006,amnd-winter-2006-b-2,B. 2,5,2,10,Senior,archive:amnd-winter-2006:b-2
amnd-winter-2006,amnd-winter-2006-b-3,B. 3,5,3,10,Senior,archive:amnd-winter-2006:b-3
amnd-winter-2006,amnd-winter-2006-b-4,B. 4,5,4,10,Senior,archive:amnd-winter-2006:b-4
amnd-winter-2006,amnd-winter-2006-c-1,C. 1,7,1,10,Senior,archive:amnd-winter-2006:c-1
amnd-winter-2006,amnd-winter-2006-c-2,C. 2,7,2,10,Senior,archive:amnd-winter-2006:c-2
amnd-winter-2006,amnd-winter-2006-c-3,C. 3,7,3,6,Senior,archive:amnd-winter-2006:c-3
amnd-winter-2006,amnd-winter-2006-c-4,C. 4,7,4,8,Senior,archive:amnd-winter-2006:c-4
amnd-winter-2006,amnd-winter-2006-h-grade,H Grade,6,6,5,Intermediate,archive:amnd-winter-2006:h-grade
amnd-winter-2006,amnd-winter-2006-inter-1,Inter. 1,6,1,10,Intermediate,archive:amnd-winter-2006:inter-1
amnd-winter-2006,amnd-winter-2006-inter-2,Inter. 2,6,2,10,Intermediate,archive:amnd-winter-2006:inter-2
amnd-winter-2006,amnd-winter-2006-inter-3,Inter. 3,6,3,10,Intermediate,archive:amnd-winter-2006:inter-3
amnd-winter-2006,amnd-winter-2006-inter-4,Inter. 4,6,4,8,Intermediate,archive:amnd-winter-2006:inter-4
amnd-winter-2006,amnd-winter-2006-inter-5,Inter. 5,6,5,7,Intermediate,archive:amnd-winter-2006:inter-5
amnd-winter-2006,amnd-winter-2006-junior-1,Junior 1,8,1,10,Junior,archive:amnd-winter-2006:junior-1
amnd-winter-2006,amnd-winter-2006-junior-2,Junior 2,8,2,10,Junior,archive:amnd-winter-2006:junior-2
amnd-winter-2006,amnd-winter-2006-junior-3,Junior 3,8,3,10,Junior,archive:amnd-winter-2006:junior-3
amnd-winter-2006,amnd-winter-2006-junior-4,Junior 4,8,4,8,Junior,archive:amnd-winter-2006:junior-4
amnd-winter-2006,amnd-winter-2006-junior-5,Junior 5,8,5,8,Junior,archive:amnd-winter-2006:junior-5
amnd-winter-2006,amnd-winter-2006-junior-6,Junior 6,8,6,8,Junior,archive:amnd-winter-2006:junior-6
amnd-winter-2006,amnd-winter-2006-junior-7,Junior 7,8,7,8,Junior,archive:amnd-winter-2006:junior-7
