club_key,grade_key,display_name,squad_number,playhq_id
woods-panthers,amnd-winter-2000-b-4,Woods Panthers,,archive:amnd-winter-2000:b-4:woods-panthers:none
oakdale-netball-club-sa,amnd-winter-2000-b-4,Oakdale,,archive:amnd-winter-2000:b-4:oakdale-netball-club-sa:none
city-coasters,amnd-winter-2000-b-4,City Coasters,,archive:amnd-winter-2000:b-4:city-coasters:none
cheerio-netball-club,amnd-winter-2000-c-1,Cheerio,,archive:amnd-winter-2000:c-1:cheerio-netball-club:none
harlequin,amnd-winter-2000-c-1,Harlequin,,archive:amnd-winter-2000:c-1:harlequin:none
pembroke-o-s,amnd-winter-2000-c-1,Pembroke,1,archive:amnd-winter-2000:c-1:pembroke-o-s:1
adelaide-university,amnd-winter-2000-c-1,Adelaide Uni.,,archive:amnd-winter-2000:c-1:adelaide-university:none
pembroke-o-s,amnd-winter-2000-c-1,Pembroke,2,archive:amnd-winter-2000:c-1:pembroke-o-s:2
contax,amnd-winter-2000-c-1,Contax,,archive:amnd-winter-2000:c-1:contax:none
metro-magic,amnd-winter-2000-c-1,Metro Magic,1,archive:amnd-winter-2000:c-1:metro-magic:1
city-coasters,amnd-winter-2000-c-1,City Coasters,,archive:amnd-winter-2000:c-1:city-coasters:none
metro-magic,amnd-winter-2000-c-1,Metro Magic,2,archive:amnd-winter-2000:c-1:metro-magic:2
cheerio-netball-club,amnd-winter-2000-c-2,Cheerio,,archive:amnd-winter-2000:c-2:cheerio-netball-club:none
metro-magic,amnd-winter-2000-c-2,Metro Magic,,archive:amnd-winter-2000:c-2:metro-magic:none
adelaide-university,amnd-winter-2000-c-2,Adelaide Uni.,,archive:amnd-winter-2000:c-2:adelaide-university:none
blue-jays,amnd-winter-2000-c-2,Blue Jays,,archive:amnd-winter-2000:c-2:blue-jays:none
pembroke-o-s,amnd-winter-2000-c-2,Pembroke,,archive:amnd-winter-2000:c-2:pembroke-o-s:none
clovelly-park,amnd-winter-2000-c-2,Clovelly Park,,archive:amnd-winter-2000:c-2:clovelly-park:none
woods-panthers,amnd-winter-2000-c-2,Woods Panthers,,archive:amnd-winter-2000:c-2:woods-panthers:none
city-coasters,amnd-winter-2000-c-2,City Coasters,,archive:amnd-winter-2000:c-2:city-coasters:none
garville,amnd-winter-2000-c-3,Garville,,archive:amnd-winter-2000:c-3:garville:none
glandore,amnd-winter-2000-c-3,Glandore,,archive:amnd-winter-2000:c-3:glandore:none
adelaide-university,amnd-winter-2000-c-3,Adelaide Uni.,2,archive:amnd-winter-2000:c-3:adelaide-university:2
adelaide-university,amnd-winter-2000-c-3,Adelaide Uni.,1,archive:amnd-winter-2000:c-3:adelaide-university:1
metro-magic,amnd-winter-2000-c-3,Metro Magic,,archive:amnd-winter-2000:c-3:metro-magic:none
city-coasters,amnd-winter-2000-c-3,City Coasters,,archive:amnd-winter-2000:c-3:city-coasters:none
clovelly-park,amnd-winter-2000-c-3,Clovelly Park,,archive:amnd-winter-2000:c-3:clovelly-park:none
pembroke-o-s,amnd-winter-2000-c-3,Pembroke,,archive:amnd-winter-2000:c-3:pembroke-o-s:none
matrics,amnd-winter-2000-h-grade,Matrics,,archive:amnd-winter-2000:h-grade:matrics:none
kookaburras,amnd-winter-2000-h-grade,Kookaburras,2,archive:amnd-winter-2000:h-grade:kookaburras:2
norwood-netball-club,amnd-winter-2000-h-grade,Jaguars,,archive:amnd-winter-2000:h-grade:norwood-netball-club:none
adelaide-cougars,amnd-winter-2000-h-grade,Cougars,1,archive:amnd-winter-2000:h-grade:adelaide-cougars:1
panthers,amnd-winter-2000-h-grade,Panthers,1,archive:amnd-winter-2000:h-grade:panthers:1
panthers,amnd-winter-2000-h-grade,Panthers,2,archive:amnd-winter-2000:h-grade:panthers:2
oakdale-netball-club-sa,amnd-winter-2000-h-grade,Phoenix,,archive:amnd-winter-2000:h-grade:oakdale-netball-club-sa:none
adelaide-cougars,amnd-winter-2000-h-grade,Cougars,2,archive:amnd-winter-2000:h-grade:adelaide-cougars:2
kookaburras,amnd-winter-2000-h-grade,Kookaburras,1,archive:amnd-winter-2000:h-grade:kookaburras:1
contax,amnd-winter-2000-inter-1,Contax,,archive:amnd-winter-2000:inter-1:contax:none
matrics,amnd-winter-2000-inter-1,Matrics,1,archive:amnd-winter-2000:inter-1:matrics:1
tango-netball-club-inc,amnd-winter-2000-inter-1,Tango,,archive:amnd-winter-2000:inter-1:tango-netball-club-inc:none
harlequin,amnd-winter-2000-inter-1,Harlequin,,archive:amnd-winter-2000:inter-1:harlequin:none
oakdale-netball-club-sa,amnd-winter-2000-inter-1,Oakdale,,archive:amnd-winter-2000:inter-1:oakdale-netball-club-sa:none
cheerio-netball-club,amnd-winter-2000-inter-1,Cheerio,,archive:amnd-winter-2000:inter-1:cheerio-netball-club:none
woods-panthers,amnd-winter-2000-inter-1,Woods Panthers,,archive:amnd-winter-2000:inter-1:woods-panthers:none
matrics,amnd-winter-2000-inter-1,Matrics,2,archive:amnd-winter-2000:inter-1:matrics:2
garville,amnd-winter-2000-inter-1,Garville,,archive:amnd-winter-2000:inter-1:garville:none
adelaide-cougars,amnd-winter-2000-inter-1,Adelaide Cougars,,archive:amnd-winter-2000:inter-1:adelaide-cougars:none
contax,amnd-winter-2000-inter-2,Contax,1,archive:amnd-winter-2000:inter-2:contax:1
tango-netball-club-inc,amnd-winter-2000-inter-2,Tango,,archive:amnd-winter-2000:inter-2:tango-netball-club-inc:none
matrics,amnd-winter-2000-inter-2,Matrics,,archive:amnd-winter-2000:inter-2:matrics:none
adelaide-cougars,amnd-winter-2000-inter-2,Adelaide Cougars,,archive:amnd-winter-2000:inter-2:adelaide-cougars:none
contax,amnd-winter-2000-inter-2,Contax,2,archive:amnd-winter-2000:inter-2:contax:2
norwood-netball-club,amnd-winter-2000-inter-2,Newton Jaguars,,archive:amnd-winter-2000:inter-2:norwood-netball-club:none
cheerio-netball-club,amnd-winter-2000-inter-2,Cheerio,,archive:amnd-winter-2000:inter-2:cheerio-netball-club:none
woods-panthers,amnd-winter-2000-inter-2,Woods Panthers,,archive:amnd-winter-2000:inter-2:woods-panthers:none
harlequin,amnd-winter-2000-inter-2,Harlequin,,archive:amnd-winter-2000:inter-2:harlequin:none
oakdale-netball-club-sa,amnd-winter-2000-inter-2,Oakdale,,archive:amnd-winter-2000:inter-2:oakdale-netball-club-sa:none
contax,amnd-winter-2000-inter-3,Contax,1,archive:amnd-winter-2000:inter-3:contax:1
garville,amnd-winter-2000-inter-3,Garville,1,archive:amnd-winter-2000:inter-3:garville:1
contax,amnd-winter-2000-inter-3,Contax,2,archive:amnd-winter-2000:inter-3:contax:2
tango-netball-club-inc,amnd-winter-2000-inter-3,Tango,,archive:amnd-winter-2000:inter-3:tango-netball-club-inc:none
adelaide-cougars,amnd-winter-2000-inter-3,Adelaide Cougars,,archive:amnd-winter-2000:inter-3:adelaide-cougars:none
garville,amnd-winter-2000-inter-3,Garville,2,archive:amnd-winter-2000:inter-3:garville:2
cheerio-netball-club,amnd-winter-2000-inter-3,Cheerio,,archive:amnd-winter-2000:inter-3:cheerio-netball-club:none
