grade_key,playhq_id,round,round_name,played_at,home_playhq_id,away_playhq_id,home_score,away_score,status,forfeiting_side,source,scraped_at
premier_league-annual-2026-premier-division,5cf2c66b,11,Round 11,1784280600,e7e6387c,1b1eca94,52,53,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,8372f024,11,Round 11,1784107800,145018b5,de3e7a2c,50,45,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,0caa25c4,12,Round 12,1784885400,de3e7a2c,b9936ea5,70,52,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,1019e2b8,12,Round 12,1784885400,3ac22eae,145018b5,72,35,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,851e68b7,12,Round 12,1784712600,91ec8080,1b1eca94,57,53,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,d8249eb2,12,Round 12,1784712600,9965376c,e7e6387c,62,59,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,13f59339,13,Round 13,1785490200,1b1eca94,b9936ea5,52,53,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,485bac14,13,Round 13,1785317400,91ec8080,9965376c,51,60,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,5f719ea9,13,Round 13,1785490200,de3e7a2c,3ac22eae,43,56,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,8bd0a8f4,13,Round 13,1785317400,145018b5,e7e6387c,30,69,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,2d6a807a,14,Round 14,1786095000,de3e7a2c,9965376c,41,50,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,7b63315c,14,Round 14,1785922200,b9936ea5,e7e6387c,58,60,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,93725d05,14,Round 14,1785922200,3ac22eae,1b1eca94,62,63,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,963aa5ee,14,Round 14,1786095000,145018b5,91ec8080,43,57,final,,playhq,1786500804964
premier_league-annual-2026-premier-division,0191b7ea,15,Semi Final 1,1786705800,9965376c,e7e6387c,,,scheduled,,playhq,1786500804964
premier_league-annual-2026-premier-division,ddf92761,15,Semi Final 2,1786705800,3ac22eae,1b1eca94,,,scheduled,,playhq,1786500804964
premier_league-annual-2026-premier-division,00d311ec,16,Preliminary Final,1787137800,,,,,scheduled,,playhq,1786500804964
premier_league-annual-2026-premier-division,4f7562ff,17,Grand Final,1787915400,,,,,scheduled,,playhq,1786500804964
